word,pronunciation,part_of_speech,definition
statistics,stә'tistiks,n.,统计数字
journalist,'dʒә:nәlist,n.,新闻记者
president,'prezidәnt,n.,总统
palace,'pælis,n.,王宫；宏伟的住宅
publish,'pʌbliʃ,v.,出版
fax,fæks,n.,传真
impatient,im'peiʃәnt,a.,不耐烦的
fire,'faiә,v.,解雇
originally,ә'ridʒәnәli,ad.,起初，原先，从前
arcade,a:'keid,n.,有拱廊的街道(两旁常设商店)
Piccadilly,pikә'dili,n.,皮卡迪利大街（伦敦市中心一条著名的街道）
necklace,'neklis,n.,项链
ring,riŋ,n.,戒指；环形物
background,'bækgraund,n.,背景
velvet,'velvit,n.,天鹅绒，丝绒
headlight,'hedlait,n.,(汽车等)前灯
blare,blєә,v.,发嘟嘟声，吼叫
staff,sta:f,n.,全体工作人员
raid,reid,n.,偷袭
scramble,'skræmbl,v.,爬行
fantastic,fæn'tæstik,a.,非常大的
ashtray,'æʃtrei,n.,烟灰缸
mutilate,'mju:tileit,v.,使残缺不全，毁坏
chew,tʃu:,v.,咀嚼
microwave,'maikrәweiv,n.,微波，微波炉
oven,'ʌvn,n.,炉灶
safekeeping,'seif'ki:piŋ,n.,妥善保管
Newcastle,'nju:'ka:sl,n.,纽卡斯尔(英国港口城市)
identify,ai'dentifai,v.,鉴定，识别
monastery,'mɔnәstri,n.,寺院，修道院
pass,pa:s,n.,关隘
watchdog,'wɔtʃdɔ:g,n.,看门狗
rashly,'ræʃli,a.,莽撞地，冒失地
enclosure,in'klәuʒә,n.,围场，圈地
monk,mʌŋk,n.,"和尚，僧侣,修道士"
privacy,'praivәsi,n.,清静，隐居
skier,'ski:ә,n.,滑雪者
Easter,'i:stә,n.,复活节
fascinate,'fæsineit,v.,迷住，吸引住
affectionate,ә'fekʃnit,a.,充满深情的，柔情的
mysterious,mis'tiәriәs,a.,神秘的，难以理解的
submissive,sʌb'misiv,a.,服从的，顺从的
feline,'fi:lain,a.,猫的
independence,'indi'pendәns,n.,独立，独立性
paratrooper,'pærәtru:pә,n.,伞兵
squirrel,'skwirәl,n.,松鼠
impact,'impækt,n.,冲击力
Southampton,"sauθ'æmptәn,sauθ'hæmptәn",n.,南安普敦(英国港口城市)
colossal,kә'lɔsl,a.,"庞大的,巨大的"
compartment,kәm'pa:tmәnt,n.,(轮船的)密封舱
flood,flʌd,v.,充满水
float,flәut,v.,漂浮，飘浮
tragic,'trædʒik,a.,悲惨的
liner,'lainә,n.,"班船, 大客轮；班机"
voyage,vɔidʒ,n.,航行
iceberg,'aisbә:g,n.,冰山
lookout,'luk'aut,n.,瞭望员
collision,kә'liʒ(ә)n,n.,碰撞
narrowly,'nærouli,ad.,刚刚，勉强地
miss,mis,v.,避开
slight,slait,a.,轻微的
tremble,'trembl,v.,震颤
faint,feint,a.,微弱的
horror,'hɔrә,n.,恐惧
abandon,ә'bændәn,v.,抛弃
plunge,plʌndʒ,v.,投入，跳入；陷入
guilty,'gilti,a.,犯罪的，违法的
tolerant,'tɔlәrәnt,a.,宽容的
declare,di'klєә,v.,申报
professional,prә'feʃәnl,a.,职业的，专业的
smuggler,'smʌglә,n.,走私者
officious,ә'fiʃәs,a.,爱管闲事的
dreadful,'dredful,a.,可怕的，一团糟的
pounce,pauns,v.,猛抓，扑住
perfume,"'pә:fju:m, pә:'fju:m",n.,香水
sarcastically,sa:'kæstikәli,ad.,讽刺地
exempt,ig'zempt,a.,被免除的
duty,'dju:ti,n.,税
gel,dʒel,n.,凝胶，发胶
mixture,'mikstʃә,n.,混合物
unscrew,ʌn'skru:,v.,拧开
nostril,'nɔstril,n.,鼻孔
chalk,tʃɔ:k,n.,粉笔
baggage,'bægidʒ,n.,行李
desert,"'dezәt, di'zә:t",v.,(军队中)开小差
unrealistic,'ʌnriә'listik,a.,不真实的
paradise,'pærәdais,n.,天堂，乐土
wretched,'retʃid,a.,可怜的，艰苦的
starve,sta:v,v.,挨饿
element,'elimәnt,n.,成分
opportunity,'ɔpә'tju:niti,n.,机会
coral,'kɔrәl,n.,珊瑚
Miami,mai'æmi,n.,迈阿密(美国最南的城市)
Caribbean,'kæri'bi:әn,n.,加勒比海
lobster,'lɔbstә,n.,龙虾
tanker,'tæŋkә,n.,油轮
costume,'kɔstju:m,n.,化装服
consist,kәn'sist,v.,由…组成
sheet,ʃi:t,n.,被单
effective,i'fektiv,a.,有明显效果的，有作用的; 生效的
comfortable,'kʌmfәtәbl,a.,舒适的
storeroom,'stɔ:rum,n.,储藏室
electricity,ilek'trisiti,n.,电
ammeter,'æmi:tә,n.,电表
pace,peis,n.,一步
flee,fli:,v.,逃走
slam,slæm,v.,砰地关上
gangster,'gæŋstә,n.,歹徒，强盗
Chicago,ʃi'ka:gәu,n.,芝加哥(美国城市)
protection,prә'tekʃәn,n.,保护
promptly,'prɔmptli,ad.,准时地；迅速的
destroy,dis'trɔi,v.,毁掉；消灭
remarkable,ri'ma:kәbl,a.,不寻常的
band,bænd,n.,帮，团伙
Florence,'flɔrәns,n.,佛罗伦萨(意大利城市)
hire,'haiә,v.,租出，雇佣
prince,'prins,n.,(小附属国的)君主，诸侯；王子
Florentine,'flɔrәntain,n.,佛罗伦萨人
funeral,'fju:nәrәl,n.,葬礼
dedicate,'dedikeit,v.,奉献，题献给
memory,'memәri,n.,纪念
valiant,'væljәnt,a.,英勇的
appreciate,ә'pri:ʃieit,v.,欣赏，感激
rattle,'rætl,v.,格格作响
thrifty,'θrifti,a.,节俭的
nephew,'nevju:,n.,侄子，外甥
bounce,bauns,v.,弹起，跳起
pavement,'peivmәnt,n.,人行道
stick,stik,v.,卡住，夹住，不能再动
brigade,bri'geid,n.,旅，(消防)队
grease,"gri:s, gri:z",n.,润滑油
prize,praiz,a.,珍贵的，宝贵的
tie,tai,v.,拴，系
theft,θeft,n.,偷盗行为，偷盗案
accuse,ә'kju:z,v.,指控
deny,di'nai,v.,否认
ashamed,ә'ʃeimd,a.,感到羞耻，惭愧
apologize,ә'pɔlәdʒaiz,v.,道歉
dye,dai,v.,染
suspension,sәs'penʃәn,n.,悬，吊
agreeable,ә'griәbl,a.,宜人的
situation,'sitju'eiʃәn,n.,地点，地方
locate,lәu'keit,v.,位于
immortal,i'mɔ:tl,a.,永生的，流芳百世的
Brooklyn,'bruklin,n.,布鲁克林
span,spæn,n.,跨度
cable,'keibl,n.,缆索
concrete,'kɔnkri:t,n.,混凝土
suspend,sәs'pend,v.,悬挂
length,leŋθ,n.,根，段; 长度
estimate,"'estimit, 'estimeit",v.,估计
capacity,kә'pæsiti,n.,承受量，容量
immensity,i'mensiti,n.,巨大
elegant,'eligәnt,a.,优美别致的
faintly,'feintli,ad.,微细地
current,'kʌrәnt,n.,"电流,水流,气流"
sculpture,'skʌlptʃә,n.,雕塑
mistaken,mis'teikәn,a.,错误的
gallery,'gælәri,n.,美术馆
exhibit,ig'zibit,n.,展品，陈列品
oddly,'ɔdli,ad.,古怪的
attach,ә'tætʃ,v.,连，系
sphere,sfiә,n.,球体
magnetize,'mægnitaiz,v.,使磁化
repel,ri'pel,v.,排斥
flicker,'flikә,v.,闪烁
emit,i'mit,v.,放射
flash,flæʃ,v.,闪光；闪过
prehistoric,'pri:hi'stɔ:rik,a.,史前的，老掉牙的
electronic,ilek'trɔnik,a.,电子的
peculiar,pi'kju:ljә,a.,奇异的
shock,ʃɔk,v.,令人震惊，刺激人
emotionally,i'mәuʃәnli,ad.,感情上
dear,diә,a.,亲爱的；珍贵的；昂贵的
considerable,kәn'sidәrәbl,a.,相当大的
wealthy,'welθi,a.,富的，有钱的
orderly,'ɔ:dәli,a.,有规律的
disappearance,'disә'piәrәns,n.,失踪
anonymous,ә'nɔnimәs,a.,匿名的
ransom,'rænsәm,n.,赎金
cardboard,'ka:dbɔ:d,n.,硬纸板
withdraw,wið'drɔ:,v.,(从银行)取钱
astound,әs'taund,v.,使吃惊
pioneer,'paiә'niә,n.,先驱
lord,lɔ:d,n.,对(英国)贵族的尊称；勋爵
Calais,'kælei,n.,加来(法国港口城市)
overland,'әuvәlænd,a.,陆上的
boxing,'bɔksiŋ,n.,拳击
boxer,'bɔksә,n.,拳击手
bare,bєә,a.,赤裸的；空荡的
crude,kru:d,a.,粗野的
marquis,'ma:kwis,n.,侯爵
technically,'teknikәli,ad.,严格根据法律意义地
science,'saiәns,n.,科学
popularity,'pɔpju'læriti,n.,名望
adore,ә'dɔ:,v.,崇拜，爱戴；非常喜欢
alike,ә'laik,ad.,一样地
fame,feim,n.,名声
eminent,'eminәnt,a.,著名的，杰出的
bitterly,'bitәli,ad.,厉害地
bet,bet,v.,打赌
academy,ә'kædәmi,n.,专业学校
extravagant,iks'trævigәnt,a.,浪费的，奢侈的
poverty,'pɔvәti,n.,贫困
run,rʌn,v.,(戏剧，电影等)连演，连映
part,pa:t,n.,剧中的角色，台词
falter,'fɔ:ltә,v.,支吾，结巴说
cast,ka:st,v.,选派……扮演角色
role,rәul,n.,角色
aristocrat,'æristәkræt,n.,贵族
imprison,im'prizn,v.,关押
colleague,'kɔli:g,n.,同事
curtain,'kә:tn,n.,(舞台上的)幕布
reveal,ri'vi:l,v.,使显露;泄漏
cell,sel,n.,单人监房，监号
blank,blæŋk,a.,空白的
squint,skwint,v.,眯着(眼)看，瞄
dim,dim,a.,昏暗的
sire,'saiә,n.,(古用法)陛下
proceed,prә'si:d,v.,继续进行
poison,'pɔizn,n.,毒药
illogical,i'lɔdʒikәl,a.,不合逻辑的，无章法的
octopus,'ɔktәpәs,n.,章鱼
delicacy,'delikәsi,n.,美味，佳肴
repulsive,ri'pʌlsiv,a.,令人反感的，令人生厌的
stomach,'stʌmәk,n.,胃
turn,tә:n,v.,感到恶心，反胃
fry,frai,v.,油炸
fat,fæt,n.,(动物、植物)油
snail,sneil,n.,蜗牛
luxury,'lʌkʃәri,n.,奢侈品，珍品
associate,ә'sәuʃieit,v.,联想到
despise,dis'paiz,v.,鄙视
appeal,ә'pi:l,v.,引起兴致
stroll,strәul,n.,溜达，散步
impulse,'impʌls,n.,冲动
dozen,'dʌzn,n.,12个，一打
fancy,'fænsi,v.,喜爱，喜欢
skeleton,'skelitәn,n.,骷髅
Respectable,ris'pektәbl,a.,体面的，雅观的
conceal,kәn'si:l,v.,隐藏，隐瞒
vivid,'vivid,a.,生动的
dramatic,drә'mætik,a.,令人激动的，扣人心弦的
ruin,'ruin,v.,毁坏
heroine,'herәuin,n.,女主人公
fiction,'fikʃәn,n.,小说
medicine,'medisin,n.,医学
unpack,'ʌn'pæk,vt.,(从箱中)取出
stack,stæk,v.,(整齐地)堆放，排放；n.堆
underclothes,'ʌndәklәuðz,n.,内衣
drawer,drɔ:,n.,抽屉
petrify,'petrifai,v.,使惊呆
dangle,'dæŋgl,v.,悬挂
sway,swei,v.,摇摆
unsympathetic,'ʌn'simpә'θetik,a.,不表同情的，无动于衷的
medical,'medikәl,a.,医学的
impressive,im'presiv,a.,给人深刻印象的
steamship,'sti:mʃip,n.,蒸汽轮船
vessel,'vesl,n.,轮船，大木船
era,'iәrә,n.,时期，时代
Java,'dʒɔvә,n.,爪哇(印度尼西亚一岛)
rudder,'rudә,n.,舵
roll,rәul,v.,颠簸，摇摆
steer,stiә,v.,掌握方向
temporary,'tempәrәri,a.,临时的
plank,plæŋk,n.,大块木板
fit,fit,v.,安装
Equator,i'kweitә,n.,赤道
delay,di'lei,v.,] n.耽误
influence,'influәns,v.,影响
pride,praid,v.,骄傲
taste,teist,n.,鉴赏力;品尝
exert,ig'zә:t,v.,施加
subtle,'sʌbtl,a.,微妙的，难以捉摸的
advertiser,'ædvәtaizә,n.,做广告的人
classify,'klæsifai,v.,分类
magic,'mædʒik,a.,有奇妙作用的
sample,'sa:mpl,n.,样品
devise,di'vaiz,v.,设计，想出
capture,'kæptʃә,v.,吸引，赢得
manufacturer,'mænju'fæktʃәrә,n.,生产厂家，制造商
wheelbarrow,'wi:l'bærәu,n.,独轮手推车
boot,bu:t,n.,(汽车尾部的)行李箱
ingredient,in'gri:djәnt,n.,配料
crane,krein,n.,起重机
anticipate,æn'tisipeit,v.,预期，预料
philosopher,fi'lɔsәfә,n.,哲学家
wisdom,'wizdәm,n.,智慧
priest,pri:st,n.,牧师
spiritual,'spiritjuәl,a.,精神上的
grudge,grʌdʒ,v.,不愿给，舍不得给
surgeon,'sә:dʒәn,n.,外科大夫
dignity,'digniti,n.,尊严
deliberately,di'libәritli,ad.,故意地
consequence,'kɔnsikwәns,n.,后果，结果
afflict,ә'flikt,v.,使苦恼，折磨
ease,i:z,n.,容易
nature,'neitʃә,n.,大自然
contempt,kәn'tempt,n.,蔑视
envious,'enviәs,a.,嫉妒的
anchor,'æŋkә,v.,?较旅籲. 锚
deck,dek,n.,甲板
silverware,'silvәwєә,n.,银器
tempt,tempt,v.,吸引；引诱
bargain,'ba:gin,v.,讨价还价; n.便宜货
disembark,'disim'ba:k,v.,下船上岸
assail,ә'seil,v.,纠缠
marble,'ma:bl,n.,小玻璃球
inscribe,in'skraib,v.,刻写，雕
favour,'feivә,n.,好处，优惠
gesticulate,dʒes'tikjuleit,v.,(讲话时)打手势
outrageous,aut'reidʒәs,a.,出人预料的；令人不悦的
thrust,θrʌst,v.,硬塞给；强行挤进
largely,'la:dʒli,ad.,在很大程度上
comic,'kɔmik,a.,喜剧的，可笑的
universal,'ju:ni'vә:sәl,a.,普遍的
comedian,kә'mi:djәn,n.,滑稽演员，喜剧演员
distasteful,dis'teistful,a.,讨厌的
pester,'pestә,v.,一再要求，纠缠
dread,dred,v.,惧怕
recovery,ri'kʌvәri,n.,康复
plaster,'pla:stә,n.,熟石膏
console,kәn'sәul,v.,安慰，慰问
hobble,'hɔbl,v.,瘸着腿走
compensate,'kɔmpenseit,v.,补偿
mumble,'mʌmbl,v.,喃喃而语
labourer,'leibәrә,n.,劳动者(也做laborer)
overnight,'әuvәnait,ad.,一夜期间
hay,hei,n.,干草
corn,kɔ:n,n.,谷物
moonlight,'mu:nlait,n.,月光
conscientious,'kɔnʃi'enʃәs,a.,认真的
suspect,"sәs'pekt, 'sʌspekt",v.,怀疑
desert,"'dezәt, di'zә:t",v.,(军队中)开小差
regiment,'redʒimәnt,n.,(军队)团
action,'ækʃәn,n.,战斗
recluse,ri'klu:s,n.,隐士
lovable,'lʌvәbl,a.,可爱的
eccentric,ik'sentrik,n.,(行为)古怪的人
disregard,'disri'ga:d,v.,不顾，无视
convention,kәn'venʃәn,n.,习俗，风俗
conscious,'kɔnʃәs,a.,感觉（意识）到的
invariably,in'vєәriәbli,ad.,总是，经常地
routine,ru:'ti:n,n.,常规；惯例; a.常规的
shrewd,ʃru:d,a.,精明的
eccentricity,'eksen'trisiti,n.,怪癖
legendary,'ledʒәndәri,a.,传奇般的
snob,snɔb,n.,势利小人，谄上欺下的人
bedraggled,bi'drægld,a.,拖泥带水的；又脏又湿的
dump,dʌmp,v.,把……砰的一声抛下
apologetic,әpɔlә'dʒetik,a.,道歉的
reprimand,'reprima:nd,v.,训斥
stage,steidʒ,v.,暗中策划
elaborate,i'læbәrit,a.,精心构思的；精致的
salvage,'sælvidʒ,v.n.,救助，营救，打捞;
Barents,'bærәnts,n.,巴伦支(海)
sunken,'sʌŋkәn,a.,沉没的
cargo,'ka:gәu,n.,货物
bullion,'buljәn,n.,金条；银条
scour,'skauә,v.,彻底搜索
chest,tʃest,n.,大箱子
belongings,bi'lɔŋiŋz,n.,(复数)所有物
item,'aitәm,n.,物件
cruiser,'kru:zә,n.,巡洋舰
find,faind,n.,找到的物品
piece,pi:s,v.,拼成整体
convoy,'kɔnvɔi,v.n.,护航
torpedo,tɔ:'pi:dәu,v.,用鱼雷攻击
submarine,'sʌbmәri:n,n.,潜水艇
naval,'neivәl,a.,海军的
ministry,'ministri,n.,(政府的)部
prelude,'prelju:d,n.,序幕，前奏
unforeseen,'ʌnfɔ:'si:n,a.,意料之外的
series,'siәri:z,n.,系列
catastrophe,kә'tæstrәfi,n.,大祸，灾难
crockery,'krɔkәri,n.,陶器，瓦器
suburb,'sʌbә:b,n.,郊区
collide,kә'laid,v.,猛撞
learner,'lә:nә,n.,初学者
panic,'pænik,n.,惊慌，恐慌
alongside,ә'lɔŋ'said,prep.,在……的旁边，与……并排
slide,slaid,v.,滑；回避
stray,strei,a.,迷失的，离群的；v.迷路，偏离
confusion,kәn'fju:ʒәn,n.,混乱
greedily,'gri:dili,ad.,贪婪地
devour,di'vauә,v.,狼吞虎咽地吃
antique,æn'ti:k,n.,古董，古玩
fascination,'fæsi'neiʃәn,n.,魅力，迷惑力
forbidding,fә'bidiŋ,a.,望而生畏的，望而却步的
muster,'mʌstә,v.,鼓起
pretentious,pri'tenʃәs,a.,自命不凡的，矫饰的
labyrinth,'læbәrinθ,n.,迷宫
musty,'mʌsti,a.,陈腐的，发霉的
rarity,'rєәriti,n.,稀世珍品
assorted,ә'sɔ:tid,a.,各式各样的
junk,dʒʌŋk,n.,破烂货，废品
carve,ka:v,v.,镌刻
dagger,'dægә,n.,短剑，匕首
litter,'litә,v.,杂乱地布满；n.垃圾
dedicated,'dedikeitid,a.,专心致志的；全身心投入的
dealer,'di:lә,v.,商人
cherish,'tʃeriʃ,v.,期望，渴望；珍爱
amply,'æmpli,ad.,足够地
masterpiece,'ma:stәpi:s,n.,杰作
mere,miә,a.,仅仅的
prize,praiz,a.,珍贵的，宝贵的
miniature,'minjәtʃә,a.,小巧的，小型的
composition,'kɔmpә'ziʃәn,n.,构图
justice,'dʒʌstis,n.,正义，公正；司法
court,kɔ:t,n.,法院
law,lɔ:,n.,法律
innocence,'inәsns,n.,无辜
undertake,'ʌndә'teik,v.,承担，着手做
arduous,'a:djuәs,a.,艰苦的，艰难的
abstract,'æbstrækt,a.,抽象的
concept,'kɔnsept,n.,概念，观念
interference,'intә'fiәrәns,n.,干涉
accord,ә'kɔ:d,v.,[n.一致
convert,"kәn'vә:t, 'kɔnvә:t",v.,转变，改变
disused,'dis'ju:zd,a.,不再用的，废弃的
fireplace,'faiәpleis,n.,壁炉
muffle,'mʌfl,v.,捂住，压抑
chip,tʃip,v.,砍，削，凿；碎裂
blacken,'blækәn,v.,使变黑
emerge,i'mә:dʒ,v.,(从某处)出现
credulous,'kredjulәs,a.,轻信的
improbable,im'prɔbәbl,a.,不大可能的
obscure,әb'skjuә,a.,不起眼的；v.遮掩，模糊
maidservant,'meidsә:vәnt,n.,女仆，女佣
presume,pri'zju:m,v.,假定
plot,plɔt,v.,密谋
downfall,'daunfɔ:l,n.,倒台，垮台
unacceptable,'ʌnәk'septәbl,a.,不能接受的
conspire,kәn'spaiә,v.,(事件)巧合促成
incredible,in'kredәbl,a.,难以置信的
resemblance,ri'zemblәns,n.,相似
scorn,skɔ:n,n.,嘲弄，挖苦
acquaint,ә'kweint,v.,使了解
reunite,'ri:ju:'nait,v.,使团聚
assume,ә'sju:m,v.,假定，认为
express,iks'pres,n.,快车 a.高速的
punctual,'pʌŋktjuәl,a.,准时的
condition,kәn'diʃәn,v.,使习惯于
unshakable,ʌn'ʃeikәbl,a.,不可动摇的
faith,feiθ,n.,信任
cancel,'kænsәl,v.,取消
dislocate,'dislәkeit,v.,打乱(计划等)
blame,bleim,v.,责怪
consult,kәn'sʌlt,v.,请教，查阅
direct,di'rekt,ad.,径直地
odd,ɔd,a.,奇怪的，异常的
reflect,ri'flekt,v.,细想
advantage,әd'va:ntidʒ,n.,优势
mighty,'maiti,a.,强大的，有力的
dawdle,'dɔ:dl,v.,慢吞吞地动或做
chug,tʃʌg,v.,咔嚓咔嚓地响
lodge,lɔdʒ,v.,提出；n.小屋，(旅游区的)小旅馆
complaint,kәm'pleint,n.,抱怨
triumph,'traiәmf,n.,胜利; v.战胜
asterisk,'æstәrisk,n.,星号
conduct,"'kɔndәkt, kәn'dʌkt",v.,引向，引导
calendar,'kælindә,n.,历法，日历
historian,his'tɔ:riәn,n.,历史学家
unique,ju:'ni:k,a.,无与伦比的；独特的
steadily,'stedili,ad.,不断地
solely,'sәuli,ad.,唯一地
video,'vidiәu,n.,录像
bewilder,bi'wildә,v.,令人眼花缭乱
deduce,di'dju:s,v.,推断，推理
scanty,'skænti,a.,不足的，贫乏的
mammoth,'mæmәθ,n.,(古生物)长毛象
tusk,tʌsk,n.,獠牙，长牙，象牙
nomad,'nɔmәd,n.,游牧民
correlate,'kɔrileit,v.,使相互联系
clue,klu:,n.,线索
insignificant,'insig'nifikәnt,a.,不重要的
shed,ʃed,v.,使流出，泻
advent,'ædvәnt,n.,出现，到来，来临
agriculture,'ægrikʌltʃә,n.,农业
assumption,ә'sʌmpʃәn,n.,假定，设想
dot,dɔt,n.,小圆点
symbol,'simbәl,n.,符号
engrave,in'greiv,v.,雕刻
ivory,'aivәri,n.,象牙制品
phase,feiz,n.,月相，天相
primitive,'primitiv,a.,原始的
depict,di'pikt,v.,描画，描绘
rough,rʌf,a.,崎岖不平的
boulder,'bәuldә,n.,大石块
pit,pit,v.,使得坑坑洼洼
perturb,pә'tә:b,v.,使不安
underestimate,'ʌndәr'estimeit,v.,低估
swerve,swә:v,v.,急转弯
scoop,sku:p,v.,挖出
hammer,'hæmә,v.,(用锤)击打，锤打
rip,rip,v.,划破，撕，扯
zigzag,'zigzæg,n.,"""之""字形"
shallow,'ʃælәu,a.,浅的
grind,graind,v.,磨擦，磨
petrol,'petrәl,n.,汽油
stretch,stretʃ,n.,一大片(平地或水)
obstacle,'ɔbstәkl,n.,障碍
clump,klʌmp,n.,丛，簇
fissure,'fiʃә,n.,(石，地的)深缝
renew,ri'nju:,v.,重复；更新
pleading,'pli:diŋ,n.,恳求
gear,giә,n.,(汽车)排档
astride,ә'straid,prep.,骑，跨
crack,kræk,n.,缝隙
halt,hɔ:lt,n.,停
dashboard,'dæʃbɔ:d,n.,(汽车上的)仪表盘
hoax,hәuks,n.,骗局，戏弄
deception,di'sepʃәn,n.,欺骗，骗局
indulge,in'dʌldʒ,v.,使沉迷；享受
pneumatic,nju:'mætik,a.,气动的
drill,dril,n.,钻
silly,'sili,a.,无意义的，无聊的
advance,әd'va:ns,a.,预先的，事先获得的
archway,'a:tʃwei,n.,拱形门楼
remonstrate,ri'mɔnstreit,v.,规劝，告诫
ironically,ai'rɔnikәli,ad.,讽刺地
permission,pә(:)'miʃәn,n.,许可
grant,gra:nt,v.,同意，准予
illusion,i'lju:ʒәn,n.,幻想，错觉
pastoral,'pa:stәrәl,a.,田园的
breed,bri:d,v.,培育
rapture,'ræptʃә,n.,欣喜
extol,iks'tɔl,v.,赞美，颂扬
superior,sju:'piәriә,a.,优越的
twitter,'twitә,v.,(鸟)吱吱叫，嘁嘁喳喳叫
glint,glint,v.,闪烁
pasture,'pa:stʃә,n.,牧场
idyllic,ai'dilik,a.,田园诗的
virtually,'vә:tjuәli,ad.,几乎，差不多
dubious,'dju:bjәs,a.,可疑的，怀疑的
privilege,'privilidʒ,n.,好处，特权
misery,'mizәri,n.,苦难
acquaintance,ә'kweintәns,n.,熟人
treat,tri:t,n.,难得的乐事，享受
dweller,'dwelә,n.,居住者
stagger,'stægә,v.,摇晃，蹒跚
exotic,ig'zɔutik,a.,异乎寻常的，外来的
glow,glәu,n.,白炽光
descend,di'send,v.,下落，降临
tuck,tʌk,v.,缩进，隐藏
solitude,'sɔlitju:d,n.,孤独，寂寞
lure,ljuә,v.,引诱，诱惑
rambler,'ræmblә,n.,漫步者，散步者
undertaking,'ʌndә'teikiŋ,n.,任务，工作
foresight,'fɔ:sait,n.,预见；深谋远虑
foretell,fɔ:'tel,v.,预言
Grenoble,grә'noubl,n.,格里诺布尔
chasm,tʃæzәm,n.,断层，裂口，陷坑
flaw,flɔ:,n.,小裂缝；缺点，瑕疵
distinguished,dis'tiŋgwiʃt,a.,杰出的，著名的
Everest,'evәrist,n.,珠穆朗玛峰
wade,weid,v.,涉水
waterfall,'wɔ:tәfɔ:l,n.,瀑布
gear,giә,n.,(汽车)排档
inflatable,in'fleitәbl,a.,可充气的
rubble,'rʌbl,n.,碎瓦，瓦块
insistent,in'sistәnt,a.,连续的，不断的
boom,bu:m,v.,轰响
waterspout,'wɔtәspaut,n.,强大的水柱
cleft,kleft,n.,裂隙，开口
cavern,'kævәn,n.,大洞穴
stalagmite,'stælәgmait,n.,石笋
stalactite,'stælәktait,n.,钟乳石
limestone,'laimstәun,n.,石灰石
glisten,'glisn,v.,闪烁
eerie,'iәri,a.,引起恐惧的，可怕的
dome,dәum,n.,穹窿，圆顶
insure,in'ʃuә,v.,投保
fete,feit,n.,游园会
admittedly,әd'mitidli,ad.,公认的
purchase,'pә:tʃәs,v.,买
annual,'ænjuәl,a.,一年一度的
capsize,kæp'saiz,v.,(船)翻
shiver,'ʃivә,v.,打颤，发抖
dive,daiv,v.,(头向下)跳水
haul,hɔ:l,v.,拖曳
hawser,'hɔ:zә,n.,粗缆绳
rim,rim,n.,(圆形物品的)外沿，边
winch,wintʃ,n.,绞车(带有绞盘的车)
premium,'pri:mjәm,n.,保险费
recover,ri'kʌvә,v.,使……得到补偿，弥补
agonizing,'ægәnaiziŋ,a.,精神紧张的，提心吊胆的
perch,pә:tʃ,v.,处于(高处)
overbalance,'әuvә'bælәns,v.,失去平衡
clamp,klæmp,n.,夹钳，夹板
vertically,'vә:tikәli,ad.,垂直地
torrent,'tɔrәnt,n.,激流，洪流
rebound,ri'baund,v.,弹回
compartment,kәm'pa:tmәnt,n.,(轮船的)密封舱
cramped,kræmpt,a.,窄小的
stuffy,'stʌfi,a.,憋气的，闷气的
monotonous,mә'nɔtәnәs,a.,枯燥的，乏味的，单调的
rhythm,'riðәm,n.,有节奏的运动
click,klik,v.,发出咔哒声
lull,lʌl,v.,催人欲睡
snatch,snætʃ,n.,短时，片段
